tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
192	Cook County diabase	6B493:6B494	285.5	39		2	2	2	0	0.06	17	47.85	-90.69	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	fine-grained diabase and granophyric diabase 58m N60E of station 60
201	Cook County diabase	6B507	288.5	37		1	1	1	0	0.06		48	-90.24	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Small diabase dike in granophyre (site 200)
183N	Cook County diabase	6B465	293	39		1	1	1	0	0.06		48.07	-90.38	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Very fine-grained diabase, 300'E of site 183 (reversed Logan diabase)"
61	Duluth diabase	6B191:6B192	276.5	31		2	2	2	0	0.06	6	46.83	-92	Intrusive:Igneous	Diabase	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Fine-grained diabase and granophyric diabase 58m N60E of station 60
2	Duluth dike (Ely's Peak)	6B044:6B045:6B046:6B047:6B048	304	37.5	16.5	5	5	5	0	0.06	15.4	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	RR cut. Dies and large blebs of gabbro pegmatite in flows underlying the layered series gabbros
191	Eagle Mountain granophyre	6B491:6B492	309.5	66.5		2	2	2	0	0.06	6	47.83	-90.8	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse, mafic granophyre"
197	Eagle Mountain granophyre	6B501:6B502	298	38.5		2	2	2	0	0.06		47.89	-90.46	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Finne-grained granophyre and ""intermediate rock"""
177	Early gabbro series	6B453:6B454	170	-74.5		2	2	2	0	0.06	7	48.02	-90.4	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse, leucocratic, pegmatiti gabbro"
179	Early gabbro series	6B456:6B457	159.5	-63.5		2	2	2	0	0.06	6.5	48.03	-90.4	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Very coarse, leucocratic, oxide-rich gabbro"
181	Early gabbro series	6B460:6B461:6B462	115	-52	302.8	3	3	3	0	0.06	4.6	48.03	-90.41	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Very fine-grained, diabasic gabbro, near base of intrusion"
187	Early gabbro series	6B474:6B475:6B476:6B477:6B478	141	-65	55.6	5	5	5	0	0.06	8.4	48.07	-90.6	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Gabbro near base of intrusion, invaded by gabbro pegmatite and red granite"
189	Early gabbro series	6B481:6B482:6B483:6B484	134.5	-63	7.8	4	4	4	0	0.06	25.1	48.06	-90.54	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse equigranular, felsic gabbro"
