AREA,PERIMETER,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MAPLABEL,DESCRIPTN,UNIT_NAME,TERRANE,ERA,SUBDIV,AREA_CALC
135291278.10800001025,113876.19452400001,BG,AB,MGS,"20101215","430334","5383091","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"135380062"
1638297.83383999998,7484.78787557000,BG,AB,MGS,"20101215","501964","5385651","15",Aag,"Mafic to ultramafic hypabyssal intrusive complexes; gabbro, anorthosite",,Wabigoon subprovince,Neoarchean,Superior Province,"1639579"
25914215.17969999835,49741.93685190000,BG,AB,MGS,"20101215","474959","5383375","15",Ams,Schist of sedimentary protolith,,Wabigoon subprovince,Neoarchean,Superior Province,"25937857"
214445827.28000000119,103862.37338400001,BG,AB,MGS,"20101215","200180","5377251","15",Agt,"Tonalite, diorite and granodiorite",,foliated to gneissic,Neoarchean,Superior Province,"214145008"
26099540.41979999840,78187.43923370000,BG,AB,MGS,"20101215","482212","5383839","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"26117450"
10650491.80299999937,31833.42434300000,BG,AB,MGS,"20101215","487572","5384075","15",Asc,"Conglomerate, lithic sandstone, graywacke, mudstone",Seine Group,Wabigoon subprovince,Neoarchean,Superior Province,"10659040"
9028838.40021000057,36997.62598330000,BG,AB,MGS,"20101215","484397","5382997","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"9036035"
4234901.26884999964,18073.82637580000,BG,AB,MGS,"20101215","498704","5384849","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"4238322"
3170133.48851000005,16828.32646710000,BG,AB,MGS,"20101215","500107","5384860","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"3173759"
2350614898.48000001907,855679.91509300005,BG,AB,MGS,"20101215","455292","5363653","15",Aqs,"Biotite schist, paragneiss, and schist-rich migmatite",,Quetico subprovince,Neoarchean,Superior Province,
270363773.44499999285,110255.13255800000,BG,AB,MGS,"20101215","395114","5376509","15",Agr,Granitic intrusion,Baudette intrusive rocks,massive to weakly foliated,Neoarchean,Superior Province,"270501367"
1263784.18895999994,14212.95755380000,BG,AB,MGS,"20101215","490499","5385029","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"1264776"
212370214.81499999762,135514.40690700000,BG,AB,MGS,"20101215","287232","5365727","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"212303628"
1916249.39553999994,6255.03149968000,BG,AB,MGS,"20101215","476651","5384555","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"1917754"
4848700.23283000011,12886.76117320000,BG,AB,MGS,"20101215","469600","5382770","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"4852547"
74836810.25249999762,70992.64710089999,BG,AB,MGS,"20101215","388035","5376987","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"74871217"
4644521.72810999956,8103.34602118000,BG,AB,MGS,"20101215","319350","5383274","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"4644511"
1128582.36011000001,9180.48778234000,BG,AB,MGS,"20101215","482324","5383401","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"1129404"
167272590.35400000215,100431.56544900000,BG,AB,MGS,"20101215","323778","5376850","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"167274305"
8151756.38346999977,10500.36622170000,BG,AB,MGS,"20101215","424181","5381665","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Winterfire intrusion,massive to weakly foliated,Neoarchean,Superior Province,"8157140"
15557433.29340000078,23738.16306830000,BG,AB,MGS,"20101215","197069","5381560","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"15534760"
28380615.42110000178,37561.72748330000,BG,AB,MGS,"20101215","436604","5379681","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"28399903"
1661553.75228999997,14163.28231850000,BG,AB,MGS,"20101215","476145","5382512","15",Aif,Iron-formation,,Wabigoon subprovince,Neoarchean,Superior Province,"1662849"
18696488.12719999999,30339.68471810000,BG,AB,MGS,"20101215","368342","5376946","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"18703452"
215917716.56600001454,104337.02487400000,BG,AB,MGS,"20101215","370403","5369309","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"216006559"
3096213.57109000022,16848.93460160000,BG,AB,MGS,"20101215","482233","5383176","15",Asc,"Conglomerate, lithic sandstone, graywacke, mudstone",,Wabigoon subprovince,Neoarchean,Superior Province,"3098558"
218958563.87500000000,106907.76577200000,BG,AB,MGS,"20101215","344230","5378424","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"219004032"
804921.25133100001,7539.06480705000,BG,AB,MGS,"20101215","481080","5382647","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"805566"
42500347.79230000079,45651.29097250000,BG,AB,MGS,"20101215","247301","5377636","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"42465886"
5126573.25528000016,18785.31010950000,BG,AB,MGS,"20101215","477386","5381676","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"5130974"
1089193.26222999999,3946.15651006000,BG,AB,MGS,"20101215","215740","5381762","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"1087902"
5945957.08170999959,26235.92869580000,BG,AB,MGS,"20101215","473125","5380867","15",Aif,Iron-formation,,Wabigoon subprovince,Neoarchean,Superior Province,"5949798"
6959530.20512000006,16197.18115450000,BG,AB,MGS,"20101215","440188","5379563","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"6964461"
24988810.35009999946,20013.88201310000,BG,AB,MGS,"20101215","351647","5379531","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"24995216"
10469827.24510000087,18153.51845230000,BG,AB,MGS,"20101215","366901","5380244","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"10473971"
1253090.52034000005,8196.13845502000,BG,AB,MGS,"20101215","472100","5381379","15",Aif,Iron-formation,,Wabigoon subprovince,Neoarchean,Superior Province,"1254384"
28315135.34090000018,29949.15174760000,BG,AB,MGS,"20101215","250802","5375545","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"28294325"
11919773.98589999974,16523.28466990000,BG,AB,MGS,"20101215","363706","5378995","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Oaks intrusion,massive to weakly foliated,Neoarchean,Superior Province,"11923755"
5675486.05693999957,10181.94072350000,BG,AB,MGS,"20101215","261589","5379808","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"5672127"
53559634.76910000294,49513.04947330000,BG,AB,MGS,"20101215","369742","5373368","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"53580635"
141983587.42599999905,165812.73495000001,BG,AB,MGS,"20101215","346019","5370490","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"142002560"
